Book|Chapter|Chinese|Pinyin|Part of Speech|English|Example_Chinese|Example_Pinyin|Example_English
置身事内|第一章|绩效|jìxiào|n.|performance|专项资金的绩效应以实际产出而非拨款速度衡量。|Zhuānxiàngzījīn de jìxiào yīngyǐ shíjì chǎnchū ér fēi bōkuǎn sùdù héngliáng.|The performance of earmarked funds should be measured by actual outcomes rather than disbursement speed.
置身事内|第一章|考核|kǎohé|n.|performance assessment|上级把环境指标纳入考核后，地方治理重点随之改变。|Shàngjí bǎ huánjìng zhǐbiāo nàrù kǎohé hòu, dìfāng zhìlǐ zhòngdiǎn suízhī gǎibiàn.|After higher authorities included environmental indicators in assessments, local governance priorities changed accordingly.
置身事内|第一章|奖惩|jiǎngchéng|n.|rewards and punishments|清晰而可信的奖惩规则能提高政策执行的一致性。|Qīngxī ér kěxìn de jiǎngchéng guīzé néng tígāo zhèngcè zhíxíng de yízhìxìng.|Clear and credible rewards and punishments can make policy implementation more consistent.
置身事内|第一章|晋升|jìnshēng|n.|promotion; advancement|如果晋升过度依赖经济增速，干部可能忽视民生和环境。|Rúguǒ jìnshēng guòdù yīlài jīngjì zēngsù, gànbù kěnéng hūshì mínshēng hé huánjìng.|If promotion depends excessively on economic growth, officials may neglect livelihoods and the environment.
置身事内|第一章|积极性|jījíxìng|n.|motivation; enthusiasm; initiative|允许地方分享部分新增税收，可以提高其招商和服务企业的积极性。|Yǔnxǔ dìfāng fēnxiǎng bùfèn xīnzēng shuìshōu, kěyǐ tígāo qí zhāoshāng hé fúwù qǐyè de jījíxìng.|Allowing localities to retain some incremental tax revenue can increase their motivation to attract and serve firms.
置身事内|第一章|主动性|zhǔdòngxìng|n.|initiative; proactiveness|政策留下适当弹性，有利于基层发挥主动性。|Zhèngcè liúxià shìdàng tánxìng, yǒulìyú jīcéng fāhuī zhǔdòngxìng.|Leaving appropriate flexibility in policy helps grassroots officials exercise initiative.
置身事内|第一章|激励过度|jīlì guòdù|n.|excessive incentives|单一指标权重过高，容易造成地方政府激励过度。|Dānyī zhǐbiāo quánzhòng guògāo, róngyì zàochéng dìfāng zhèngfǔ jīlì guòdù.|Giving excessive weight to a single indicator can over-incentivize local governments.
置身事内|第一章|调动|diàodòng|v.|mobilize|面对洪灾，市政府迅速调动消防、医疗和交通力量。|Miànduì hóngzāi, shìzhèngfǔ xùnsù diàodòng xiāofáng, yīliáo hé jiāotōng lìliàng.|Facing a flood, the city government quickly mobilized firefighting, medical, and transportation resources.
置身事内|第一章|配置|pèizhì|v.|allocate; configure|省里根据人口变化重新配置教育经费和教师名额。|Shěnglǐ gēnjù rénkǒu biànhuà chóngxīn pèizhì jiàoyùjīngfèi hé jiàoshī míng'é.|The province reallocated education funds and teaching positions according to population changes.
置身事内|第一章|约束|yuēshù|v.|constrain; restrain|债务上限能够约束地方过度举债的冲动。|Zhàiwù shàngxiàn nénggòu yuēshù dìfāng guòdù jǔzhài de chōngdòng.|Debt ceilings can constrain local governments' impulse to borrow excessively.
置身事内|第一章|监管|jiānguǎn|v.|regulate; supervise|平台经济快速发展后，传统监管方式需要及时调整。|Píngtái jīngjì kuàisù fāzhǎn hòu, chuántǒng jiānguǎn fāngshì xūyào jíshí tiáozhěng.|After the rapid growth of the platform economy, traditional regulatory methods need timely adjustment.
置身事内|第一章|协调|xiétiáo|v.|coordinate|跨市河流治理需要上级政府协调上下游利益。|Kuàshì héliú zhìlǐ xūyào shàngjí zhèngfǔ xiétiáo shàngxiàyóu lìyì.|Managing a river that crosses cities requires higher-level government to coordinate upstream and downstream interests.
置身事内|第一章|干预|gānyù|v.|intervene|市场机制能够正常运作时，行政干预应保持审慎。|Shìchǎngjīzhì nénggòu zhèngcháng yùnzuò shí, xíngzhèng gānyù yīng bǎochí shěnshèn.|When market mechanisms function normally, administrative intervention should remain cautious.
置身事内|第一章|承担|chéngdān|v.|undertake; bear|县政府承担了农村公路的建设和养护费用。|Xiànzhèngfǔ chéngdān le nóngcūngōnglù de jiànshè hé yǎnghù fèiyòng.|The county government bore the costs of building and maintaining rural roads.
置身事内|第一章|调用|diàoyòng|v.|deploy; draw upon|发生重大疫情时，省级平台可以调用各市的医疗物资数据。|Fāshēng zhòngdà yìqíng shí, shěngjí píngtái kěyǐ diàoyòng gèshì de yīliáo wùzī shùjù.|During a major epidemic, the provincial platform can draw upon medical-supply data from every city.
置身事内|第一章|提炼|tíliàn|v.|distill; extract|研究者从地方改革经验中提炼出可检验的理论命题。|Yánjiūzhě cóng dìfāng gǎigé jīngyàn zhōng tíliàn chū kě jiǎnyàn de lǐlùn mìngtí.|Researchers distilled testable theoretical propositions from local reform experience.
置身事内|第一章|曲解|qūjiě|v.|distort; misinterpret|若只看文件标题，容易曲解政策的真实意图。|Ruò zhǐ kàn wénjiàn biāotí, róngyì qūjiě zhèngcè de zhēnshí yìtú.|Looking only at a document's title can easily distort the policy's true intent.
置身事内|第一章|套用|tàoyòng|v.|mechanically apply|各地条件差异很大，不能机械套用同一套招商办法。|Gèdì tiáojiàn chāyì hěndà, bùnéng jīxiè tàoyòng tóng yítào zhāoshāng bànfǎ.|Because local conditions vary greatly, the same investment-promotion method cannot be applied mechanically everywhere.
置身事内|第一章|勾勒|gōulè|v.|sketch; outline|本章从政府间关系入手，勾勒地方治理的基本框架。|Běnzhāng cóng zhèngfǔ jiān guānxì rùshǒu, gōulè dìfāng zhìlǐ de jīběn kuāngjià.|This chapter begins with intergovernmental relations and sketches the basic framework of local governance.
置身事内|第一章|兼顾|jiāngù|v.|take multiple considerations into account|预算安排既要支持经济增长，也要兼顾基本民生。|Yùsuàn ānpái jì yào zhīchí jīngjì zēngzhǎng, yě yào jiāngù jīběn mínshēng.|Budget arrangements should support economic growth while also taking basic livelihoods into account.
置身事内|第一章|制约|zhìyuē|v.|constrain; restrict|收入增长缓慢会制约基层扩大公共服务供给。|Shōurù zēngzhǎng huǎnmàn huì zhìyuē jīcéng kuòdà gōnggòngfúwù gōngjǐ.|Slow revenue growth constrains grassroots governments from expanding public-service provision.
置身事内|第一章|防范|fángfàn|v.|guard against; prevent|规范融资平台的举债行为，有助于防范地方债务风险。|Guīfàn róngzī píngtái de jǔzhài xíngwéi, yǒuzhùyú fángfàn dìfāng zhàiwù fēngxiǎn.|Regulating borrowing by financing platforms helps guard against local-debt risks.
置身事内|第一章|处置|chǔzhì|v.|handle; dispose of|发现企业违规排污后，执法部门依法处置并公开结果。|Fāxiàn qǐyè wéiguī páiwū hòu, zhífǎ bùmén yīfǎ chǔzhì bìng gōngkāi jiéguǒ.|After discovering illegal industrial discharge, enforcement authorities handled the case according to law and disclosed the result.
置身事内|第一章|赋予|fùyǔ|v.|grant; confer|法律赋予地方政府一定的行政处罚权。|Fǎlǜ fùyǔ dìfāng zhèngfǔ yídìng de xíngzhèng chǔfáquán.|The law grants local governments certain administrative-penalty powers.
置身事内|第一章|下放|xiàfàng|v.|devolve; delegate downward|省里把部分项目审批事项下放到县级办理。|Shěnglǐ bǎ bùfèn xiàngmù shěnpī shìxiàng xiàfàng dào xiànjí bànlǐ.|The province delegated approval of some projects to the county level.
置身事内|第一章|上收|shàngshōu|v.|recentralize authority|为防止标准不一，市里将食品检测权限统一上收。|Wèi fángzhǐ biāozhǔn bù yī, shìlǐ jiāng shípǐn jiǎncè quánxiàn tǒngyī shàngshōu.|To prevent inconsistent standards, the city recentralized food-testing authority.
置身事内|第一章|履行|lǚxíng|v.|fulfill; perform|企业获得财政补助后，仍须履行环保和就业承诺。|Qǐyè huòdé cáizhèng bǔzhù hòu, réngxū lǚxíng huánbǎo hé jiùyè chéngnuò.|After receiving fiscal support, a firm must still fulfill its environmental and employment commitments.
置身事内|第一章|落实|luòshí|v.|implement; put into effect|政策效果最终取决于基层能否把各项措施落实到位。|Zhèngcè xiàoguǒ zuìzhōng qǔjuéyú jīcéng néngfǒu bǎ gèxiàngcuòshī luòshí dàowèi.|Policy results ultimately depend on whether grassroots governments can fully implement each measure.
置身事内|第一章|推行|tuīxíng|v.|carry out; promote|该省先在三个县推行预算绩效管理。|Gāishěng xiān zài sānge xiàn tuīxíng yùsuàn jìxiào guǎnlǐ.|The province first introduced performance-based budgeting in three counties.
置身事内|第一章|推进|tuījìn|v.|advance; move forward|跨区域交通一体化需要多个城市共同推进。|Kuà qūyù jiāotōng yìtǐhuà xūyào duōge chéngshì gòngtóng tuījìn.|Regional transport integration requires several cities to advance it together.
置身事内|第一章|深化|shēnhuà|v.|deepen|要进一步深化财税改革，就必须调整中央与地方的收入关系。|Yào jìnyíbù shēnhuà cáishuì gǎigé, jiù bìxū tiáozhěng zhōngyāng yǔ dìfāng de shōurù guānxì.|Further deepening fiscal and tax reform requires adjustment of central-local revenue relations.
置身事内|第一章|完善|wánshàn|v.|improve; refine|政府正在完善面向小微企业的信用担保制度。|Zhèngfǔ zhèngzài wánshàn miànxiàng xiǎowēi qǐyè de xìnyòng dānbǎo zhìdù.|The government is improving the credit-guarantee system for small and micro enterprises.
置身事内|第一章|优化|yōuhuà|v.|optimize|网上并联审批可以优化企业开办流程。|Wǎngshàng bìnglián shěnpī kěyǐ yōuhuà qǐyè kāibàn liúchéng.|Parallel online approvals can streamline the process of starting a business.
置身事内|第一章|弱化|ruòhuà|v.|weaken|频繁的临时性补贴可能弱化企业控制成本的动力。|Pínfán de línshíxìng bǔtiē kěnéng ruòhuà qǐyè kòngzhì chéngběn de dònglì.|Frequent temporary subsidies may weaken firms' incentive to control costs.
置身事内|第一章|强化|qiánghuà|v.|strengthen|公开预算数据能够强化社会对政府支出的监督。|Gōngkāi yùsuàn shùjù nénggòu qiánghuà shèhuì duì zhèngfǔ zhīchū de jiāndū.|Publishing budget data can strengthen public oversight of government spending.
置身事内|第一章|缓解|huǎnjiě|v.|alleviate; mitigate|中央转移支付有助于缓解贫困地区的收支矛盾。|Zhōngyāng zhuǎnyí zhīfù yǒuzhùyú huǎnjiě pínkùndìqū de shōuzhī máodùn.|Central transfer payments help ease fiscal imbalances in poor regions.
置身事内|第一章|扭曲|niǔqū|v.|distort|以投资额作为唯一考核指标会扭曲地方干部的行为。|Yǐ tóuzī'é zuòwéi wéiyī kǎohé zhǐbiāo huì niǔqū dìfāng gànbù de xíngwéi.|Using investment volume as the sole assessment indicator distorts local officials' behavior.
置身事内|第一章|权衡|quánhéng|v.|weigh; balance|决策者需要在增长速度与债务安全之间权衡。|Juécèzhě xūyào zài zēngzhǎngsùdù yǔ zhàiwù ānquán zhījiān quánhéng.|Decision-makers need to balance growth speed against debt sustainability.
置身事内|第一章|统筹|tǒngchóu|v.|coordinate comprehensively|省级政府应统筹跨市基础设施的布局和融资。|Shěngjí zhèngfǔ yīng tǒngchóu kuàshì jīchǔshèshī de bùjú hé róngzī.|Provincial governments should coordinate the planning and financing of infrastructure across cities.
置身事内|第一章|统筹兼顾|tǒngchóu jiāngù|v.|coordinate while taking all interests into account|制定区域政策时，应统筹兼顾效率、公平与生态保护。|Zhìdìng qūyù zhèngcè shí, yīng tǒngchóu jiāngù xiàolǜ, gōngpíng yǔ shēngtài bǎohù.|Regional policy should comprehensively balance efficiency, equity, and ecological protection.
置身事内|第一章|取舍|qǔshě|v.|make trade-offs|财政资源有限，政府必须在不同项目之间作出取舍。|Cáizhèng zīyuán yǒuxiàn, zhèngfǔ bìxū zài bùtóng xiàngmù zhījiān zuòchū qǔshě.|Because fiscal resources are limited, the government must make trade-offs among projects.
置身事内|第一章|界定|jièdìng|v.|define; delimit|法规需要清楚界定平台企业与监管部门的责任。|Fǎguī xūyào qīngchǔ jièdìng píngtái qǐyè yǔ jiānguǎnbùmén de zérèn.|Regulations need to clearly define the responsibilities of platform firms and regulators.
置身事内|第一章|牵涉|qiānshè|v.|involve; implicate|土地制度改革牵涉农民、开发商和地方政府等多方利益。|Tǔdì zhìdù gǎigé qiānshè nóngmín, kāifāshāng hé dìfāng zhèngfǔ děng duōfāng lìyì.|Land-system reform involves the interests of farmers, developers, local governments, and other parties.
置身事内|第一章|波及|bōjí|v.|affect; spread to|一家大型房企违约，可能波及银行和上下游供应商。|Yìjiā dàxíng fángqǐ wéiyuē, kěnéng bōjí yínháng hé shàngxiàyóu gōngyìngshāng.|A default by a large property developer may affect banks and upstream and downstream suppliers.
置身事内|第一章|广泛|guǎngfàn|adj.|broad; extensive|数字政务改革在东中西部地区得到广泛应用。|Shùzì zhèngwù gǎigé zài dōngzhōngxībù dìqū dédào guǎngfàn yìngyòng.|Digital-government reform has been applied extensively across eastern, central, and western regions.
置身事内|第一章|模糊|móhu|adj.|vague; ambiguous|部门职责模糊时，出了问题往往无人愿意负责。|Bùmén zhízé móhu shí, chū le wèntí wǎngwǎng wúrén yuànyì fùzé.|When departmental responsibilities are vague, no one is usually willing to take responsibility when problems arise.
置身事内|第一章|明确|míngquè|adj./v.|clear; explicit|文件明确要求新增支出必须说明资金来源。|Wénjiàn míngquè yāoqiú xīnzēng zhīchū bìxū shuōmíng zījīnláiyuán.|The document explicitly requires every new expenditure to identify its funding source.
置身事内|第一章|复杂多变|fùzá duōbiàn|adj.|complex and constantly changing|地方经济环境复杂多变，政策必须保留调整余地。|Dìfāng jīngjì huánjìng fùzá duōbiàn, zhèngcè bìxū bǎoliú tiáozhěng yúdì.|Local economic conditions are complex and constantly changing, so policy must leave room for adjustment.
置身事内|第一章|密不可分|mì bù kě fēn|adj.|inseparable; closely intertwined|地方财政与土地市场密不可分，房价下行会影响政府收入。|Dìfāng cáizhèng yǔ tǔdì shìchǎng mì bù kě fēn, fángjià xiàxíng huì yǐngxiǎng zhèngfǔ shōurù.|Local public finance is inseparable from the land market, so falling housing prices affect government revenue.
置身事内|第一章|不可或缺|bùkě huòquē|adj.|indispensable|可靠的基层数据是制定公共政策不可或缺的依据。|Kěkào de jīcéng shùjù shì zhìdìng gōnggòngzhèngcè bùkě huòquē de yījù.|Reliable grassroots data are an indispensable basis for making public policy.
置身事内|第一章|至关重要|zhìguān zhòngyào|adj.|critically important|在分权体制下，建立有效的问责机制至关重要。|Zài fēnquán tǐzhì xià, jiànlì yǒuxiào de wènzé jīzhì zhìguān zhòngyào.|Under a decentralized system, establishing an effective accountability mechanism is critically important.
置身事内|第一章|相对稳定|xiāngduì wěndìng|adj.|relatively stable|税制保持相对稳定，企业才能形成长期投资预期。|Shuìzhì bǎochí xiāngduì wěndìng, qǐyè cáinéng xíngchéng chángqītóuzī yùqī.|Only when the tax system remains relatively stable can firms form long-term investment expectations.
置身事内|第一章|形形色色|xíngxíng sèsè|adj.|all sorts of; of every kind|地方政府推出了形形色色的园区优惠和人才计划。|Dìfāng zhèngfǔ tuīchū le xíngxíng sèsè de yuánqū yōuhuì hé réncái jìhuà.|Local governments introduced all sorts of industrial-park incentives and talent programs.
置身事内|第一章|宏观|hóngguān|adj.|macro; broad-level|从宏观角度看，地方竞争推动了全国投资增长。|Cóng hóngguān jiǎodùkàn, dìfāng jìngzhēng tuīdòng le quánguó tóuzī zēngzhǎng.|From a macro perspective, competition among localities drove nationwide investment growth.
置身事内|第一章|微观|wēiguān|adj.|micro; individual-level|微观调查显示，企业更在意规则稳定而非一次性补贴。|Wēiguān diàochá xiǎnshì, qǐyè gèng zàiyì guīzé wěndìng ér fēi yícìxìng bǔtiē.|Micro-level surveys show that firms care more about stable rules than one-off subsidies.
置身事内|第一章|繁杂|fánzá|adj.|complicated; numerous and messy|基层报表种类繁杂，占用了干部大量工作时间。|Jīcéng bàobiǎo zhǒnglèi fánzá, zhànyòng le gànbù dàliàng gōngzuò shíjiān.|The numerous and complicated grassroots reporting forms consume much of officials' working time.
置身事内|第一章|繁琐|fánsuǒ|adj.|cumbersome; tedious|过于繁琐的审批程序会延误项目开工。|Guòyú fánsuǒ de shěnpī chéngxù huì yánwù xiàngmù kāigōng.|Overly cumbersome approval procedures delay the start of projects.
置身事内|第一章|多元化|duōyuánhuà|adj.|diversified; pluralized|发展多元化产业可以降低城市对单一行业的依赖。|Fāzhǎn duōyuánhuà chǎnyè kěyǐ jiàngdī chéngshì duì dānyī hángyè de yīlài.|Developing diversified industries can reduce a city's dependence on a single sector.
置身事内|第一章|灵活|línghuó|adj.|flexible|面对突发情况，地方需要有灵活调整政策的空间。|Miànduì tūfā qíngkuàng, dìfāng xūyào yǒu línghuó tiáozhěng zhèngcè de kōngjiān.|When unexpected events occur, local governments need room to adjust policy flexibly.
置身事内|第一章|僵化|jiānghuà|adj.|rigid; ossified|指标一旦僵化，考核就可能偏离政策初衷。|Zhǐbiāo yídàn jiānghuà, kǎohé jiù kěnéng piānlí zhèngcè chūzhōng.|Once indicators become rigid, assessments may deviate from the policy's original purpose.
置身事内|第一章|低效|dīxiào|adj.|inefficient|长期保护低效国企会挤占更有生产率企业的资源。|Chángqī bǎohù dīxiào guóqǐ huì jǐzhàn gèng yǒu shēngchǎnlǜ qǐyè de zīyuán.|Protecting inefficient SOEs over the long term crowds out resources for more productive firms.
置身事内|第一章|高效|gāoxiào|adj.|highly efficient|统一数据标准后，跨部门协作变得更加高效。|Tǒngyī shùjù biāozhǔn hòu, kuàbùmén xiézuò biàndé gèngjiā gāoxiào.|After data standards were unified, interdepartmental collaboration became more efficient.
置身事内|第一章|稳健|wěnjiàn|adj.|prudent; steady|地方政府应采取稳健的融资策略，避免期限错配。|Dìfāng zhèngfǔ yīng cǎiqǔ wěnjiàn de róngzī cèlüè, bìmiǎn qīxiàn cuòpèi.|Local governments should adopt prudent financing strategies and avoid maturity mismatches.
置身事内|第一章|可持续|kě chíxù|adj.|sustainable|依靠不断卖地维持支出的财政模式并不可持续。|Yīkào bùduàn màidì wéichí zhīchū de cáizhèng móshì bìng bù kě chíxù.|A fiscal model that sustains spending through continual land sales is not sustainable.
置身事内|第一章|不相容|bù xiāngróng|adj.|incompatible|短期政绩冲动有时与长期债务安全不相容。|Duǎnqī zhèngjì chōngdòng yǒushí yǔ chángqīzhàiwù ānquán bù xiāngróng.|The pursuit of short-term official achievements is sometimes incompatible with long-term debt sustainability.
置身事内|第一章|不可避免|bùkě bìmiǎn|adj.|unavoidable; inevitable|改革触及既有利益时，部门间的讨价还价不可避免。|Gǎigé chùjí jìyǒu lìyì shí, bùmén jiān de tǎojiàhuánjià bùkě bìmiǎn.|When reform affects established interests, bargaining among departments is unavoidable.
置身事内|第一章|淋漓尽致|línlí jìnzhì|idiom|fully; vividly; to the fullest extent|这场跨地区治污争议把条块矛盾表现得淋漓尽致。|Zhèchǎng kuàdìqū zhìwū zhēngyì bǎ tiáokuài máodùn biǎoxiàn de línlí jìnzhì.|This cross-regional pollution dispute displayed the tension between vertical and territorial authority to the fullest extent.
置身事内|第一章|五花八门|wǔhuā bāmén|idiom|all kinds of; highly varied|各地为吸引企业推出了五花八门的奖励办法。|Gèdì wèi xīyǐn qǐyè tuīchū le wǔhuā bāmén de jiǎnglì bànfǎ.|Localities introduced all kinds of reward schemes to attract firms.
置身事内|第一章|千头万绪|qiāntóu wànxù|idiom|extremely complicated; many tangled threads|县长上任后发现基层治理工作千头万绪。|Xiànzhǎng shàngrèn hòu fāxiàn jīcéng zhìlǐ gōngzuò qiāntóu wànxù.|After taking office, the county head found grassroots governance extraordinarily complicated.
置身事内|第一章|说不清楚|shuō bù qīngchu|phrase|difficult or impossible to define clearly|如果权责边界含糊，出了问题就会说不清楚该由谁负责。|Rúguǒ quánzé biānjiè hánhú, chū le wèntí jiù huì shuō bù qīngchu gāi yóu shuí fùzé.|If authority and responsibility are blurred, it becomes impossible to say clearly who should be responsible when trouble occurs.
置身事内|第一章|谁说了算|shéi shuō le suàn|phrase|who has the final say|几个部门意见不一，关键问题变成了最后谁说了算。|Jǐge bùmén yìjiàn bù yī, guānjiànwèntí biànchéng le zuìhòu shéi shuō le suàn.|Several departments disagreed, and the key question became who would have the final say.
置身事内|第一章|拍板决策|pāibǎn juécè|verb phrase|make the final decision|充分听取专家意见后，主要负责人对方案拍板决策。|Chōngfèn tīngqǔ zhuānjiā yìjiàn hòu, zhǔyào fùzérén duì fāng'àn pāibǎn juécè.|After fully hearing expert opinions, the principal leader made the final decision on the plan.
置身事内|第一章|一把手负责制|yìbǎshǒu fùzézhì|n.|system centered on the top leader|重大工程实行一把手负责制，主要领导必须定期报告进度。|Zhòngdà gōngchéng shíxíng yìbǎshǒu fùzézhì, zhǔyào lǐngdǎo bìxū dìngqī bàogào jìndù.|Major projects use a system centered on the top leader, who must report progress regularly.
置身事内|第一章|标新立异|biāoxīn lìyì|idiom|seek novelty; try to be different for its own sake|地方改革不能只为标新立异，而应真正解决现实问题。|Dìfāng gǎigé bùnéng zhǐwèi biāoxīn lìyì, éryīng zhēnzhèng jiějué xiànshí wèntí.|Local reform should not seek novelty for its own sake but should genuinely solve practical problems.
置身事内|第一章|融会贯通|rónghuì guàntōng|idiom|integrate knowledge into a coherent whole|读者需要把财政、土地和官员激励三条线索融会贯通。|Dúzhě xūyào bǎ cáizhèng, tǔdì hé guānyuán jīlì sāntiáo xiànsuǒ rónghuì guàntōng.|Readers need to integrate the three threads of public finance, land, and official incentives into a coherent whole.
置身事内|第一章|实事求是|shíshì qiúshì|idiom|seek truth from facts; be fact-based|制定县域产业政策应实事求是，尊重当地发展基础。|Zhìdìng xiànyù chǎnyèzhèngcè yīng shíshì qiúshì, zūnzhòng dāngdì fāzhǎn jīchǔ.|County industrial policy should seek truth from facts and respect local development foundations.
置身事内|第一章|深入浅出|shēnrù qiǎnchū|idiom|explain profound ideas in simple language|作者用日常案例作了深入浅出的解释，揭示地方政府的运行逻辑。|Zuòzhě yòng rìcháng ànlì zuò le shēnrù qiǎnchū de jiěshì, jiēshì dìfāng zhèngfǔ de yùnxíng luójí.|Using everyday cases, the author gave an accessible yet insightful explanation of the logic of local government.
置身事内|第一章|因地制宜|yīndì zhìyí|idiom|adapt measures to local conditions|山区县发展产业必须因地制宜，不能照搬沿海经验。|Shānqūxiàn fāzhǎn chǎnyè bìxū yīndì zhìyí, bùnéng zhàobān yánhǎi jīngyàn.|Mountain counties must adapt industrial development to local conditions rather than copy coastal experience.
置身事内|第一章|各有侧重|gè yǒu cèzhòng|phrase|each emphasizes a different aspect|中央重视全国统一，地方关注本地执行，双方各有侧重。|Zhōngyāng zhòngshì quánguó tǒngyī, dìfāng guānzhù běndì zhíxíng, shuāngfāng gè yǒu cèzhòng.|The center values nationwide uniformity while localities focus on local implementation, so each has a different emphasis.
置身事内|第一章|彼此相通|bǐcǐ xiāngtōng|phrase|interconnected; share common ground|土地财政与招商引资的运行逻辑彼此相通。|Tǔdì cáizhèng yǔ zhāoshāngyǐnzī de yùnxíng luójí bǐcǐ xiāngtōng.|The operating logic of land finance and investment promotion is interconnected.
置身事内|第一章|脱离实际|tuōlí shíjì|verb phrase|divorced from reality|考核指标若脱离实际，基层就可能通过造数据来应付。|Kǎohé zhǐbiāo ruò tuōlí shíjì, jīcéng jiù kěnéng tōngguò zào shùjù lái yìngfù.|If assessment indicators are divorced from reality, grassroots officials may cope by fabricating data.
置身事内|第一章|大包大揽|dàbāo dàlǎn|idiom|take responsibility or control of everything|上级部门若对基层事务大包大揽，地方主动性就难以发挥。|Shàngjíbùmén ruò duì jīcéng shìwù dàbāo dàlǎn, dìfāng zhǔdòngxìng jiù nányǐ fāhuī.|If higher-level departments take control of all grassroots affairs, local initiative cannot flourish.
置身事内|第一章|一刀切|yìdāoqiē|verb phrase|one-size-fits-all approach|冬季治污不能简单一刀切，否则会影响居民取暖。|Dōngjì zhìwū bùnéng jiǎndān yìdāoqiē, fǒuzé huì yǐngxiǎng jūmín qǔnuǎn.|Winter pollution control cannot use a simplistic one-size-fits-all approach, or residents' heating will be affected.
置身事内|第一章|因势利导|yīnshì lìdǎo|idiom|guide according to circumstances or trends|面对产业自然集聚，政府应因势利导完善配套服务。|Miànduì chǎnyè zìrán jíjù, zhèngfǔ yīng yīnshì lìdǎo wánshàn pèitào fúwù.|When industries cluster naturally, the government should follow the trend and improve supporting services.
置身事内|第一章|权衡利弊|quánhéng lìbì|idiom|weigh advantages and disadvantages|决定是否建设新区前，地方应认真权衡利弊。|Juédìng shìfǒu jiànshè xīnqū qián, dìfāng yīng rènzhēn quánhéng lìbì.|Before deciding whether to build a new district, the locality should carefully weigh the advantages and disadvantages.
置身事内|第一章|朝令夕改|zhāolìng xīgǎi|idiom|constantly change policies or orders|政策朝令夕改会破坏企业对政府承诺的信任。|Zhèngcè zhāolìng xīgǎi huì pòhuài qǐyè duì zhèngfǔ chéngnuò de xìnrèn.|Constant policy reversals undermine firms' trust in government commitments.
置身事内|第一章|因小失大|yīnxiǎo shīdà|idiom|sacrifice the greater for the lesser|为了短期税收保护落后企业，可能因小失大。|Wèile duǎnqī shuìshōu bǎohù luòhòu qǐyè, kěnéng yīnxiǎo shīdà.|Protecting backward firms for short-term tax revenue may sacrifice larger long-term gains.
置身事内|第一章|顾此失彼|gùcǐ shībǐ|idiom|attend to one thing while neglecting another|只强调投资而忽视债务风险，难免顾此失彼。|Zhǐ qiángdiào tóuzī ér hūshì zhàiwù fēngxiǎn, nánmiǎn gùcǐ shībǐ.|Emphasizing investment while ignoring debt risk inevitably means attending to one concern while neglecting another.
置身事内|第一章|本末倒置|běnmò dàozhì|idiom|put the cart before the horse|为了完成报表而耽误实际服务，是典型的本末倒置。|Wèile wánchéng bàobiǎo ér dānwù shíjì fúwù, shì diǎnxíng de běnmò dàozhì.|Delaying real services in order to complete forms is a classic case of putting the cart before the horse.
置身事内|第一章|各自为政|gèzì wéizhèng|idiom|each act independently without coordination|相邻城市若在交通规划上各自为政，就会造成线路重复。|Xiānglín chéngshì ruò zài jiāotōng guīhuà shàng gèzì wéizhèng, jiù huì zàochéng xiànlù chóngfù.|If neighboring cities each pursue their own transport plans, they will create duplicative routes.
置身事内|第一章|各司其职|gèsī qízhí|idiom|each perform one's own duties|应急响应中，医疗、交通和公安部门必须各司其职。|Yìngjí xiǎngyìng zhōng, yīliáo, jiāotōng hé gōng'ānbùmén bìxū gèsī qízhí.|During an emergency response, medical, transport, and public-security departments must each perform their own duties.
置身事内|第一章|各负其责|gèfù qízé|idiom|each bear one's own responsibility|项目采用分段管理，各参与单位按合同各负其责。|Xiàngmù cǎiyòng fēnduàn guǎnlǐ, gè cānyù dānwèi àn hétóng gèfù qízé.|The project uses segmented management, with each participating unit responsible for its contractual duties.
置身事内|第一章|责权利一致|zé quán lì yízhì|phrase|align responsibility, authority, and interests|只有做到责权利一致，基层干部才有能力也有动力完成任务。|Zhǐyǒu zuòdào zé quán lì yízhì, jīcénggànbù cái yǒu nénglì yě yǒu dònglì wánchéng rènwù.|Only by aligning responsibility, authority, and interests will grassroots officials have both the capacity and motivation to complete their tasks.
置身事内|第一章|权责对等|quánzé duìděng|phrase|authority commensurate with responsibility|要求地方承担新增事务时，应同时保证权责对等。|Yāoqiú dìfāng chéngdān xīnzēng shìwùshí, yīng tóngshí bǎozhèng quánzé duìděng.|When localities are asked to undertake new responsibilities, their authority should be made commensurate with those responsibilities.
置身事内|第一章|上有政策，下有对策|shàng yǒu zhèngcè, xià yǒu duìcè|phrase|higher levels make policies, lower levels devise countermeasures|检查只看表面材料，容易助长“上有政策，下有对策”的现象。|Jiǎnchá zhǐ kàn biǎomiàn cáiliào, róngyì zhùzhǎng “shàng yǒu zhèngcè, xià yǒu duìcè” de xiànxiàng.|Inspections that examine only superficial paperwork encourage the phenomenon in which higher levels make policies and lower levels devise countermeasures.
置身事内|第一章|政出多门|zhèngchū duōmén|idiom|policies or orders come from multiple authorities|同一行业收到互相矛盾的通知，反映出政出多门的问题。|Tóngyī hángyè shōudào hùxiāngmáodùn de tōngzhī, fǎnyìng chū zhèngchū duōmén de wèntí.|An industry receiving contradictory notices reflects the problem of policies coming from multiple authorities.
