Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
Unit 3 Business|原型|yuánxíng|n.|prototype|产品原型已经完成。|chǎnpǐn yuánxíng yǐjīng wánchéng.|The product prototype has been completed.
Unit 3 Business|乐章|yuèzhāng|n.|movement; chapter|合作开启了发展的新乐章。|hézuò kāiqǐ le fāzhǎn de xīn yuèzhāng.|The cooperation opened a new chapter of development.
Unit 3 Business|运输|yùnshū|v./n.|transport; transportation|冷链运输保证产品新鲜。|lěngliàn yùnshū bǎozhèng chǎnpǐn xīnxiān.|Cold-chain transportation keeps products fresh.
Unit 3 Business|运营|yùnyíng|v./n.|operate; operations|平台运营需要专业团队。|píngtái yùnyíng xūyào zhuānyè tuánduì.|Platform operations require a professional team.
Unit 3 Business|砸|zá|v.|smash; ruin; spend heavily|广告投放不准会砸预算。|guǎnggào tóufàng bù zhǔn huì zá yùsuàn.|Poorly targeted advertising can waste the budget.
Unit 3 Business|载|zài|v.|carry; load|这辆货车能载五吨货。|zhè liàng huòchē néng zài wǔ dūn huò.|This truck can carry five tons of goods.
Unit 3 Business|再生资源|zàishēng zīyuán|n.|renewable resources|再生资源产业正在壮大。|zàishēng zīyuán chǎnyè zhèngzài zhuàngdà.|The renewable resources industry is growing.
Unit 3 Business|增值|zēngzhí|v./n.|increase in value; value-added|服务升级带来了品牌增值。|fúwù shēngjí dàilái le pǐnpái zēngzhí.|The service upgrade brought brand value growth.
Unit 3 Business|摘录|zhāilù|v./n.|excerpt|报告摘录了关键数据。|bàogào zhāilù le guānjiàn shùjù.|The report excerpted key data.
Unit 3 Business|展台|zhǎntái|n.|exhibition booth|公司的展台吸引了很多客户。|gōngsī de zhǎntái xīyǐn le hěn duō kèhù.|The company's booth attracted many customers.
Unit 3 Business|占据|zhànjù|v.|occupy; hold|该品牌占据了高端市场。|gāi pǐnpái zhànjù le gāoduān shìchǎng.|The brand occupies the high-end market.
Unit 3 Business|掌握|zhǎngwò|v.|grasp; master|管理者要掌握市场变化。|guǎnlǐzhě yào zhǎngwò shìchǎng biànhuà.|Managers need to grasp market changes.
Unit 3 Business|帐篷|zhàngpeng|n.|tent|户外品牌推出了新款帐篷。|hùwài pǐnpái tuīchū le xīnkuǎn zhàngpeng.|The outdoor brand launched a new tent.
Unit 3 Business|智能手机|zhìnéng shǒujī|n.|smartphone|智能手机改变了购物方式。|zhìnéng shǒujī gǎibiàn le gòuwù fāngshì.|Smartphones changed the way people shop.
Unit 3 Business|指引|zhǐyǐn|v./n.|guide; guidance|数据为决策提供指引。|shùjù wèi juécè tígōng zhǐyǐn.|Data provides guidance for decision-making.
Unit 3 Business|智慧|zhìhuì|n.|wisdom; smart|智慧零售提高了运营效率。|zhìhuì língshòu tígāo le yùnyíng xiàolǜ.|Smart retail improved operational efficiency.
Unit 3 Business|致力于|zhìlì yú|v.|be committed to|公司致力于绿色发展。|gōngsī zhìlì yú lǜsè fāzhǎn.|The company is committed to green development.
Unit 3 Business|志同道合|zhìtóngdàohé|idiom|share the same ideals|我们寻找志同道合的合作伙伴。|wǒmen xúnzhǎo zhìtóngdàohé de hézuò huǒbàn.|We are looking for partners who share the same ideals.
Unit 3 Business|终究|zhōngjiū|adv.|after all; eventually|质量终究会决定品牌命运。|zhìliàng zhōngjiū huì juédìng pǐnpái mìngyùn.|Quality will eventually determine a brand's fate.
Unit 3 Business|中央空调|zhōngyāngkōngtiáo|n.|central air conditioning|商场安装了新的中央空调。|shāngchǎng ānzhuāng le xīn de zhōngyāngkōngtiáo.|The mall installed new central air conditioning.
Unit 3 Business|逐步|zhúbù|adv.|gradually|公司逐步扩大海外市场。|gōngsī zhúbù kuòdà hǎiwài shìchǎng.|The company is gradually expanding overseas markets.
Unit 3 Business|主办方|zhǔbànfāng|n.|organizer|主办方公布了展会日程。|zhǔbànfāng gōngbù le zhǎnhuì rìchéng.|The organizer announced the exhibition schedule.
Unit 3 Business|主流|zhǔliú|n./adj.|mainstream|移动支付已经成为主流。|yídòng zhīfù yǐjīng chéngwéi zhǔliú.|Mobile payment has already become mainstream.
Unit 3 Business|主席|zhǔxí|n.|chairperson|主席主持了年度会议。|zhǔxí zhǔchí le niándù huìyì.|The chairperson presided over the annual meeting.
Unit 3 Business|驻|zhù|v.|be stationed in|公司驻上海团队负责华东业务。|gōngsī zhù Shànghǎi tuánduì fùzé Huádōng yèwù.|The company's Shanghai-based team handles East China business.
Unit 3 Business|注册|zhùcè|v.|register|新用户需要先注册账号。|xīn yònghù xūyào xiān zhùcè zhànghào.|New users need to register an account first.
Unit 3 Business|专利|zhuānlì|n.|patent|这项技术已经申请专利。|zhè xiàng jìshù yǐjīng shēnqǐng zhuānlì.|This technology has already applied for a patent.
Unit 3 Business|专注|zhuānzhù|v./adj.|focus; focused|团队专注于核心产品。|tuánduì zhuānzhù yú héxīn chǎnpǐn.|The team focuses on the core product.
Unit 3 Business|装备|zhuāngbèi|n./v.|equipment; equip|工厂更新了生产装备。|gōngchǎng gēngxīn le shēngchǎn zhuāngbèi.|The factory updated its production equipment.
Unit 3 Business|壮大|zhuàngdà|v./adj.|grow stronger; expand|品牌影响力不断壮大。|pǐnpái yǐngxiǎnglì búduàn zhuàngdà.|The brand's influence continues to grow.
Unit 3 Business|咨询|zīxún|v./n.|consult; consultation|客户可以在线咨询客服。|kèhù kěyǐ zàixiàn zīxún kèfú.|Customers can consult customer service online.
Unit 3 Business|资源|zīyuán|n.|resources|企业要合理配置资源。|qǐyè yào hélǐ pèizhì zīyuán.|Enterprises need to allocate resources properly.
Unit 3 Business|自主|zìzhǔ|adj./adv.|independent; autonomous|公司坚持自主研发。|gōngsī jiānchí zìzhǔ yánfā.|The company insists on independent R&D.
Unit 3 Business|综合|zōnghé|adj./v.|comprehensive; synthesize|我们需要综合分析市场数据。|wǒmen xūyào zōnghé fēnxī shìchǎng shùjù.|We need to comprehensively analyze market data.
Unit 3 Business|总部|zǒngbù|n.|headquarters|公司总部设在广州。|gōngsī zǒngbù shè zài Guǎngzhōu.|The company's headquarters is in Guangzhou.
Unit 3 Business|总裁|zǒngcái|n.|president; CEO|总裁宣布了新的战略。|zǒngcái xuānbù le xīn de zhànlüè.|The CEO announced the new strategy.
Unit 3 Business|总和|zǒnghé|n.|sum; total|销售额是各门店收入的总和。|xiāoshòu'é shì gè méndiàn shōurù de zǒnghé.|Sales revenue is the sum of each store's income.
Unit 3 Business|奏|zòu|v.|play music; achieve effect|新策略开始奏效。|xīn zhànlüè kāishǐ zòuxiào.|The new strategy began to take effect.
Unit 3 Business|租赁|zūlìn|v./n.|lease; rent|设备租赁能降低初期成本。|shèbèi zūlìn néng jiàngdī chūqī chéngběn.|Equipment leasing can reduce initial costs.
Unit 3 Business|足迹|zújì|n.|footprint; trace|品牌足迹已经遍布全国。|pǐnpái zújì yǐjīng biànbù quánguó.|The brand's footprint now spans the whole country.
